Book Title,Customer ID,Rating,Review Date,ISBN
Kahani Ko Udaan,C8589,3,2023-07-09,978-9937-323-11-5
Sangit Ko Kahani,C4828,3,2023-02-02,978-9937-746-52-1
Microeconomics: Principles and Practices,C8007,2,2024-06-27,978-9937-148-52-9
Ramailo Chhito,C9161,3,2022-05-19,978-9937-322-73-5
Phool Ko Ghar,C3575,1,2019-08-23,978-9937-578-58-7
Manchhe Ko Aakanksha,C1049,5,2020-07-05,978-9937-959-77-2
Chhalphal Ko Kahani,C3636,2,2024-02-23,978-9937-818-83-1
Birgunj,C6103,1,2022-07-16,978-9937-368-60-0
Ramailo Khushi,C7002,5,2020-06-02,978-9937-160-17-2
Sajilo Yatra,C6653,4,2022-11-26,978-9937-901-70-8
Mangal Ko Ramailo,C6296,5,2020-03-15,978-9937-710-11-4
Ghar ko Ghar,C5071,3,2023-02-04,978-9937-691-75-9
Statistics for Business and Economics,C6236,1,2021-07-08,978-9937-644-48-3
Jatiya Sangharsha Ko Bato,C9865,1,2021-12-31,978-9937-564-78-6
Applied Psychology in Business,C4369,4,2019-10-10,978-9937-300-84-5
Sajilo Bal Katha,C4738,5,2018-12-17,978-9937-360-18-4
Muna Madan,C8611,5,2022-08-26,978-9937-869-48-4
Philosophy of Education,C1645,1,2022-10-05,978-9937-764-16-4
Kranti,C5168,3,2020-08-03,978-9937-714-39-9
Art History: A Comprehensive Overview,C8091,1,2022-09-23,978-9937-456-47-2
Bal Manch Ko Yatra,C2165,4,2020-07-28,978-9937-794-93-0
Khushi Ko Bal Kahani,C5285,5,2019-06-14,978-9937-532-72-8
Microeconomics: Principles and Practices,C2904,2,2020-10-16,978-9937-148-52-9
Ranga,C8570,1,2019-09-20,978-9937-688-19-3
Katha Haru Ko Udaan,C4061,3,2022-12-15,978-9937-108-38-3
Duniya Ko Katha,C7129,3,2023-03-09,978-9937-626-24-0
Sathi Ko Safar,C2875,4,2020-10-18,978-9937-316-92-3
Duniya Ko Dhan,C6431,4,2019-09-08,978-9937-677-61-3
Nepali Samasya Ko Itihas,C6495,1,2024-04-12,978-9937-641-46-8
Water Resources Engineering,C2741,1,2020-04-06,978-9937-105-89-8
Prashasan Ra Udyog,C6873,3,2019-11-15,978-9937-765-37-5
Introduction to Artificial Intelligence,C8154,4,2024-04-02,978-9937-777-54-7
Sathi Haru Ko Manchhe,C6646,5,2019-01-21,978-9937-112-75-9
Urban Planning and Development,C8143,1,2022-03-13,978-9937-987-99-4
Emotional Intelligence,C2885,2,2022-11-30,978-9937-713-29-1
Jatiya Sangharsha Ra Vikas,C5329,1,2023-09-01,978-9937-297-62-2
Ramailo Ghar,C1275,3,2019-09-10,978-9937-586-85-5
Kalpana,C7994,1,2024-01-26,978-9937-155-98-5
Pani Ko Duniya,C1265,1,2024-05-08,978-9937-846-35-7
Anand Ko Vishwa,C6273,5,2023-08-20,978-9937-119-28-7
Contemporary Nepalese Politics,C8370,5,2020-10-11,978-9937-948-78-2
Pratik,C8391,5,2021-03-03,978-9937-933-35-5
Cost Accounting Techniques,C8094,1,2024-08-13,978-9937-392-31-3
Samarpan,C4183,2,2022-03-26,978-9937-669-77-4
Janakpur Dham,C5474,4,2020-10-19,978-9937-269-26-6
Baal Yatra Ko Sundar,C7063,2,2024-03-25,978-9937-118-48-5
Macroeconomics,C9540,4,2019-01-18,978-9937-715-14-7
Nepali Mantra,C1327,3,2020-02-01,978-9937-725-85-7
Vikas Ko Katha,C8382,3,2023-06-09,978-9937-371-20-5
Khadka,C2530,5,2020-12-22,978-9937-970-24-3
Jatiya Adhikar Ra Udyog,C7561,1,2019-01-19,978-9937-751-83-5
Samudayik Itihas,C5449,2,2022-10-17,978-9937-938-27-4
Nepal Ko Chhito,C8685,2,2021-08-06,978-9937-718-71-1
Himalaya Ko Ghar,C2853,5,2020-01-23,978-9937-464-58-5
Mangal Ko Bato,C2612,4,2020-10-08,978-9937-715-72-2
Prakriti Ra Manav,C7119,3,2020-11-21,978-9937-183-74-0
Nepal Ko Mitra,C8378,2,2021-10-30,978-9937-540-97-6
Rato Bangala,C6710,1,2024-04-11,978-9937-956-35-3
Yugal Gurung,C8782,2,2022-09-04,978-9937-979-11-1
Advertising: Theory and Strategy,C3067,1,2021-07-25,978-9937-965-26-4
Katha Ra Kahani,C9249,2,2019-07-06,978-9937-212-26-4
Bato Ko Sathi,C9748,5,2022-09-20,978-9937-679-60-9
Ghatana,C3782,5,2023-12-30,978-9937-204-71-5
Suno,C5465,4,2022-06-23,978-9937-557-69-4
The Power of Positivity,C2393,3,2024-10-04,978-9937-911-53-9
Yoga and Mindfulness Practices,C8085,4,2019-01-11,978-9937-227-78-2
Chhayan,C5032,3,2023-09-16,978-9937-495-99-5
Chhito Ramailo Pataka,C6899,5,2020-06-29,978-9937-209-28-0
Shiksha Ko Bato Ra Nyaya,C7845,3,2024-10-28,978-9937-169-76-1
Siddhartha,C7259,4,2019-05-26,978-9937-508-21-4
Applied Psychology in Business,C1965,2,2023-01-09,978-9937-300-84-5
Photography: Principles and Practice,C5652,2,2022-02-08,978-9937-587-96-6
Nepali Sangharsha Ra Itihas,C7868,1,2020-04-27,978-9937-849-69-5
Farm Management,C4829,4,2020-09-29,978-9937-530-60-6
Combinatorial Mathematics,C5557,1,2023-11-10,978-9937-609-86-1
Samaya Ko Ramailo,C3447,2,2021-06-28,978-9937-828-23-0
Rajesh,C1017,4,2020-06-20,978-9937-582-14-1
History of Modern Education in Nepal,C2623,4,2021-01-07,978-9937-323-37-3
Chhito Sapana Ko Ramailo,C6848,1,2018-11-19,978-9937-428-79-2
Prashasan Ko Ramailo,C2766,5,2018-12-09,978-9937-338-53-1
Consumer Behavior,C2848,5,2019-04-04,978-9937-340-34-6
Baal Manch,C6498,5,2024-08-26,978-9937-612-80-5
Katha Haru Ko Sanga,C3755,1,2020-10-12,978-9937-948-56-4
Jatra Ma Sangharsha,C6701,4,2022-12-15,978-9937-777-69-1
Vikas Ra Samaj,C2927,4,2020-10-02,978-9937-678-84-1
Maya Ko Duniya,C1946,4,2021-06-14,978-9937-339-22-0
Biology Workbook,C3991,5,2021-12-25,978-9937-762-66-9
Seto Dharti,C4706,5,2024-09-24,978-9937-519-44-5
Gulab,C7220,1,2024-02-09,978-9937-679-24-6
Business Research Methods,C9946,1,2019-10-24,978-9937-443-82-3
Jatiya Bato Ra Udyog,C7898,2,2022-01-09,978-9937-894-98-2
Prakriti Ra Adhikar,C9003,5,2019-01-15,978-9937-699-92-0
Sajha Ko Dhan,C2225,4,2018-12-20,978-9937-460-70-9
Prakriti Ra Bikas,C3892,1,2020-07-06,978-9937-632-35-2
Bato Ko Ghar,C6540,4,2024-10-27,978-9937-925-92-3
Aakash Ko Katha,C5642,2,2022-03-24,978-9937-566-82-1
Khushi,C7101,5,2019-04-26,978-9937-315-10-5
Sustainable Development: Theory and Practice,C3347,3,2022-11-18,978-9937-587-22-3
Sajilo Samaya,C3579,4,2020-07-17,978-9937-190-57-5
The Philosophy of Happiness,C1117,1,2021-04-03,978-9937-707-96-7
Maanav Ka Yatra,C9237,4,2021-03-03,978-9937-772-59-1
Ek Paila Khushi,C1904,4,2023-01-26,978-9937-427-89-6
Khushi Ra Dukh,C2605,3,2020-12-19,978-9937-443-72-4
Prashasan Ko Itihas Ra Bato,C4606,5,2019-01-11,978-9937-190-58-8
Chhito Sapana Ko Ramailo,C6042,4,2023-06-21,978-9937-428-79-2
Nepal ko Yatra,C4136,3,2023-08-17,978-9937-522-32-0
Bholi Ko Maya,C9191,3,2021-09-11,978-9937-600-78-5
Samriddhi,C3957,1,2018-12-05,978-9937-679-61-6
Rashtriya Sewa,C8010,4,2021-09-24,978-9937-231-34-3
Chhimeki Ko Bato,C7571,5,2019-10-15,978-9937-126-88-2
Nepal's Biodiversity,C8053,5,2024-05-08,978-9937-450-92-2
Nirjala,C9392,1,2022-08-21,978-9937-512-54-1
Scrum and Lean Methodologies,C9736,4,2023-06-18,978-9937-445-49-9
Satyabadi,C6906,3,2019-02-05,978-9937-896-63-4
Bal Ghar Pataka,C3773,4,2023-07-08,978-9937-346-94-2
Maya Ra Shanti,C9662,3,2019-05-29,978-9937-709-48-5
Child Development and Learning,C7396,1,2024-08-10,978-9937-962-21-7
Chhito Bato,C4597,4,2023-05-15,978-9937-724-79-1
Khusi Ko Ramailo,C9996,3,2021-01-16,978-9937-503-25-6
Chhalphal Ramailo Kahani,C9380,3,2019-05-02,978-9937-384-44-2
Rajesh Hamal Ko Ghar,C9738,1,2019-12-06,978-9937-271-87-6
Business Communication: Theory and Practice,C2846,5,2023-12-31,978-9937-338-49-9
Chhito Khushi Ramailo Yatra,C4384,1,2022-01-10,978-9937-877-32-2
Musical Theory and Composition,C7237,3,2022-04-11,978-9937-338-71-4
Khushi Ko Sundar Yatra,C2308,2,2019-09-04,978-9937-151-99-3
Chandra Dutta,C5421,1,2019-04-06,978-9937-642-42-7
Prakriti Ra Bikas,C4597,4,2019-02-25,978-9937-632-35-2
Jindagi Ko Katha,C4812,2,2022-08-01,978-9937-932-24-2
Introduction to Environmental Studies,C6762,2,2024-05-20,978-9937-160-46-7
Introduction to Physical Education,C8940,1,2021-01-19,978-9937-176-36-0
Art History: A Comprehensive Overview,C6633,4,2022-10-30,978-9937-456-47-2
Sajilo Katha,C7936,1,2024-01-07,978-9937-264-28-8
Quantitative Research Methods,C8214,1,2023-10-17,978-9937-588-83-1
Khushi Ra Katha,C5436,4,2020-08-28,978-9937-681-62-1
Public Administration in Nepal,C4653,4,2024-06-23,978-9937-926-81-2
Anthropology of Music,C3755,2,2023-08-05,978-9937-275-35-2
Bhul Ko Ghar,C6296,5,2024-09-14,978-9937-380-66-5
Man Ko Anand,C8583,4,2023-04-26,978-9937-564-96-3
Mangal Ko Ramailo,C9067,2,2019-06-15,978-9937-710-11-4
Chhito Sapana Kahani,C1532,1,2023-12-07,978-9937-949-71-1
Disaster Management,C4290,1,2022-09-26,978-9937-109-52-4
Jatra Ko Katha,C3172,4,2021-12-06,978-9937-990-14-0
Jatra Ko Bato,C2314,2,2024-07-05,978-9937-903-84-9
Bal Ghar Ko Ramailo,C9507,3,2019-09-07,978-9937-978-58-2
Pratikshya,C7345,2,2022-06-07,978-9937-262-87-6
Dharam Pustak,C4627,4,2023-08-04,978-9937-878-26-4
Introduction to Anthropology,C6602,4,2023-06-16,978-9937-847-61-4
The Beauty of Nepali Culture,C6699,2,2023-09-20,978-9937-720-74-3
Qualitative Research Methods,C5587,1,2023-04-07,978-9937-898-21-9
Panchhi Ra Katha,C2974,4,2023-08-20,978-9937-788-88-0
Dev,C3028,3,2023-02-13,978-9937-581-66-0
Jatra Ko Khusi Yatra,C4722,3,2021-11-09,978-9937-349-69-4
Ankhako Sathi,C7358,5,2024-01-21,978-9937-692-26-2
Chhalphal Ko Ghar,C4743,2,2021-12-26,978-9937-234-12-6
Jatiya Bhasha,C9169,4,2022-09-27,978-9937-697-75-2
Community-Based Resource Management,C1632,3,2019-04-27,978-9937-563-85-4
Exercise Physiology,C7821,3,2021-05-28,978-9937-232-63-2
Sabai Ko Sangharsha,C8957,2,2024-06-22,978-9937-113-63-5
Urban Planning and Development,C2562,1,2021-03-29,978-9937-987-99-4
Muktak Ko Duniya,C6722,4,2024-03-27,978-9937-899-94-7
Khushi,C4322,5,2019-11-03,978-9937-315-10-5
Nepal Ko Manavadhikar,C5464,2,2019-12-10,978-9937-957-91-8
Communication in Organizations,C1154,4,2019-08-15,978-9937-702-99-5
Chhalphal Ko Ramailo Kahani,C4384,2,2023-07-05,978-9937-659-45-9
Aasha ko Ghar,C4253,3,2022-07-04,978-9937-771-37-3
Microfinance and Poverty Alleviation,C6969,2,2024-02-12,978-9937-574-58-3
Prashasan Ko Mahatv,C1072,3,2019-05-12,978-9937-768-74-4
Nirmal,C7407,2,2022-09-13,978-9937-593-96-0
Corporate Finance,C5111,1,2019-06-12,978-9937-804-29-9
Sanjay Ka Sawaal,C6219,5,2019-07-30,978-9937-497-93-0
Dhamala,C7321,5,2019-10-15,978-9937-662-79-7
Nepal Ko Vikas Ra Itihas,C9755,2,2023-09-18,978-9937-898-62-4
Emergency Management in Health Care,C1462,1,2021-11-05,978-9937-324-17-9
Chhito Haru,C5766,4,2021-12-20,978-9937-208-56-3
Yatra,C8095,1,2023-05-19,978-9937-236-75-3
Engineering Management: Theory and Practice,C8898,4,2023-06-15,978-9937-495-22-0
History of Modern Education in Nepal,C6092,2,2023-06-18,978-9937-323-37-3
Udaan Ko Yatra,C9273,1,2022-11-04,978-9937-275-92-7
Health Systems and Policies,C4789,5,2020-09-05,978-9937-345-44-7
Children's Literature: An Overview,C4030,4,2023-04-27,978-9937-938-45-7
Sansar,C9828,5,2021-03-29,978-9937-987-55-3
Katha Ra Samaya,C9723,3,2024-08-06,978-9937-374-26-5
Jeevan Chha,C6302,3,2020-09-04,978-9937-147-46-1
Nepal ko Khushi,C9854,2,2019-01-10,978-9937-387-80-2
Nepali Prashasan Ko Bato,C7921,3,2022-08-03,978-9937-345-47-2
Health Promotion and Disease Prevention,C3858,1,2022-11-22,978-9937-698-26-3
Chhito Sapana,C3238,5,2023-04-11,978-9937-896-40-9
Macroeconomics: Theory and Applications,C1535,2,2020-07-01,978-9937-714-22-6
Abstract Algebra: Concepts and Applications,C5357,5,2022-01-12,978-9937-770-96-1
Baal Yatra,C1172,3,2018-12-14,978-9937-816-20-7
Maya Ko Dhan,C1748,4,2024-04-15,978-9937-235-76-0
Machine Learning Fundamentals,C8213,3,2022-01-26,978-9937-595-74-4
Baal Ghar Ko Katha,C8123,5,2023-09-02,978-9937-295-75-3
Shiksha Ra Itihas,C7762,2,2020-01-24,978-9937-346-84-7
Khushi Ko Kahani,C9964,5,2018-12-22,978-9937-626-49-7
Rashtriya Sewa,C7546,2,2020-04-26,978-9937-231-34-3
Sathi Ra Maya,C2716,4,2019-11-16,978-9937-162-13-8
Chhalfal,C4471,1,2019-04-06,978-9937-800-55-9
Yatra Ko Anubhav,C4296,1,2022-05-06,978-9937-713-31-9
Yatra Ra Khushi,C3119,2,2019-07-11,978-9937-758-84-6
Emergency Management in Health Care,C8197,3,2021-08-18,978-9937-324-17-9
Nepal Ko Samaj,C6259,1,2019-08-09,978-9937-328-72-1
Aama,C1493,1,2020-03-10,978-9937-547-47-3
Man Ko Parivartan,C1440,4,2020-02-05,978-9937-270-97-5
Sukh Ko Samaya,C4446,1,2019-10-16,978-9937-598-15-9
Public Administration in Nepal,C3541,2,2022-08-09,978-9937-926-81-2
Nepal Ko Ramailo Ko Itihas,C6532,1,2023-06-01,978-9937-892-56-7
Prakriti Ra Udyog,C5332,3,2018-11-12,978-9937-522-96-3
Maanav Ra Yatra,C8983,3,2021-10-03,978-9937-390-90-8
Arthik Samasya,C6854,1,2022-10-02,978-9937-690-15-9
Rajniti,C1469,5,2022-11-12,978-9937-638-39-6
Jatiya Adhikar,C8141,5,2021-03-01,978-9937-458-31-2
Sathi Ko Ghar,C4179,3,2019-12-13,978-9937-506-36-8
Structural Engineering Basics,C9751,3,2020-06-04,978-9937-454-23-3
