Transaction Date,Book Title,ISBN,Customer ID,Quantity,Price (NPR)
2021-05-16,Samaya,978-9937-991-77-7,C3369,3,1295.0
2020-06-10,Anand Ko Katha,978-9937-330-96-4,C4042,3,1916.0
2022-10-17,Introduction to Human Rights,978-9937-904-76-0,C8421,5,690.0
2024-07-15,Diyo Jwala,978-9937-979-29-5,C3688,4,1907.0
2023-04-28,Rajniti,978-9937-638-39-6,C2102,5,1182.0
2023-09-14,Naya Yatra,978-9937-900-38-6,C3083,2,1347.0
2020-11-21,Chhito Pataka,978-9937-881-12-5,C3369,3,812.0
2021-01-26,Nepal Ko Sangharsha,978-9937-588-42-6,C2126,1,1800.0
2022-07-20,Guidance and Counseling in Education,978-9937-599-32-7,C7394,1,1740.0
2018-12-04,Sundar Shanta,978-9937-231-39-4,C5433,1,837.0
2019-02-05,Nepal Ko Ramailo Ko Itihas,978-9937-892-56-7,C1247,2,480.0
2022-08-11,Prashasan Ra Khusi,978-9937-956-39-0,C2477,2,414.0
2024-05-18,Bal Manch Ramailo,978-9937-932-60-1,C4880,3,493.0
2019-10-18,Ma Katha,978-9937-136-42-7,C5303,1,261.0
2020-09-19,Sanjay Ka Sawaal,978-9937-497-93-0,C5235,4,1542.0
2022-06-05,Aasha Ko Maya,978-9937-441-72-8,C3921,1,501.0
2021-12-21,Visual Arts: Concepts and Techniques,978-9937-179-95-1,C1253,2,245.0
2019-08-30,Sathi Ko Ghar,978-9937-506-36-8,C8482,1,1542.0
2021-12-06,Baal Ghar Ko Katha,978-9937-295-75-3,C4359,3,1729.0
2021-05-03,Chhito Sapana,978-9937-896-40-9,C4898,3,1508.0
2020-06-02,Katha Haru Ko Khushi,978-9937-795-36-9,C4489,3,435.0
2021-12-21,Sathi Ra Maya,978-9937-162-13-8,C6509,4,1847.0
2022-07-03,Smriti,978-9937-796-76-8,C7957,5,1322.0
2019-11-05,Sabai Ko Adhikar,978-9937-952-43-7,C9874,3,1002.0
2021-09-23,Bal Ramailo Patak Yatra,978-9937-481-43-0,C5318,1,427.0
2022-04-03,Chhalfal,978-9937-800-55-9,C4899,3,1722.0
2024-03-06,Maile Kahan Pako,978-9937-928-70-4,C9073,3,1809.0
2021-01-12,Introduction to Human Behavior,978-9937-171-16-7,C5785,3,557.0
2023-08-19,Naya Samaya,978-9937-738-38-8,C3511,3,1367.0
2020-09-03,Creative Media Production,978-9937-402-60-2,C8685,4,894.0
2022-02-27,Nepali Bhasha Ko Itihas,978-9937-183-41-5,C6260,1,1306.0
2024-01-15,Organizational Behavior,978-9937-225-75-7,C8101,1,1732.0
2019-08-08,Samaya Ko Sanghars,978-9937-641-51-2,C7867,4,1416.0
2024-01-19,Vimarsha,978-9937-501-41-6,C3830,5,1549.0
2023-07-07,Maya Ra Katha,978-9937-675-20-3,C7194,3,1336.0
2022-11-08,Ecology: Principles and Applications,978-9937-247-12-2,C3313,3,1121.0
2021-07-13,Introduction to Civil Engineering,978-9937-294-47-0,C4041,1,1471.0
2023-10-23,Cloud Computing Basics,978-9937-896-98-9,C4807,5,1618.0
2018-11-14,Dev,978-9937-581-66-0,C5924,1,1044.0
2023-07-08,Maya Ra Ghar,978-9937-975-26-2,C8388,3,1837.0
2020-03-02,Botany: An Introduction,978-9937-332-16-8,C1055,1,1496.0
2021-03-04,Ghar Ko Katha,978-9937-458-93-3,C8563,2,1298.0
2023-08-13,Chhakka Pataka,978-9937-794-65-8,C1226,5,445.0
2021-07-02,Nepal Yatra,978-9937-112-78-2,C2186,3,599.0
2022-09-13,Samaya Ka Safar,978-9937-253-92-5,C9241,2,1741.0
2024-03-27,Pukal,978-9937-686-93-8,C3465,4,1775.0
2021-07-12,Naulo Ghar,978-9937-394-45-8,C4200,1,1544.0
2023-12-12,Man Ko Ramailo,978-9937-453-19-8,C1497,3,960.0
2024-04-19,Chhito Ramailo Kahani,978-9937-994-44-5,C5522,4,1468.0
2021-09-18,Technology in Education,978-9937-952-26-9,C9775,1,985.0
2022-05-29,Health Systems and Policies,978-9937-345-44-7,C1062,3,1429.0
2022-01-09,Bhim,978-9937-904-80-4,C4370,1,1436.0
2022-04-22,Fundamentals of Logic,978-9937-397-76-5,C3664,5,1899.0
2022-04-14,Introduction to Data Science,978-9937-184-11-6,C4175,3,907.0
2021-04-06,Computer Networks: Principles and Applications,978-9937-381-94-6,C2100,5,655.0
2023-06-21,Bhuichalo,978-9937-898-88-5,C8955,2,1761.0
2019-04-20,Parijat,978-9937-249-34-4,C9757,2,800.0
2021-11-13,Bhagya Rekha,978-9937-889-64-2,C6490,4,1935.0
2019-12-10,Chhito Ghar,978-9937-683-81-7,C5566,3,326.0
2019-09-10,Nepal Ko Mitra,978-9937-540-97-6,C4080,2,1337.0
2022-01-22,Nepal Ko Itihas Ra Bikas,978-9937-301-77-0,C6084,4,959.0
2024-10-29,Analytical Chemistry Techniques,978-9937-562-23-8,C2746,4,1580.0
2021-04-09,Ramailo Chhito,978-9937-322-73-5,C3889,2,1125.0
2020-03-12,Nepali Udyog,978-9937-677-78-0,C1846,1,1064.0
2021-02-19,Phool Ko Ramailo,978-9937-761-72-6,C7145,3,1010.0
2021-01-21,Introduction to Management,978-9937-954-27-9,C5149,1,868.0
2021-09-26,Samajik Vikas Ko Samasya,978-9937-554-78-7,C7874,5,1142.0
2021-06-27,Parvaaz,978-9937-247-46-4,C3061,2,1639.0
2023-08-08,Quantitative Research Methods,978-9937-588-83-1,C5635,4,438.0
2022-09-16,Maya Ra Manav,978-9937-595-47-0,C2008,3,504.0
2022-07-01,Aama Ko Chora,978-9937-745-15-2,C9353,3,1996.0
2023-03-06,Understanding Human Behavior,978-9937-882-79-6,C3964,4,712.0
2022-12-14,Baal Yatra,978-9937-816-20-7,C7638,5,1639.0
2020-01-29,Introduction to Computer Engineering,978-9937-656-56-6,C7684,1,454.0
2023-07-21,Chhaat Ko Anubhav,978-9937-867-78-9,C5471,4,450.0
2019-12-08,Philosophy of Education,978-9937-764-16-4,C5320,1,1387.0
2019-04-15,Nepali Sangraha,978-9937-360-75-6,C1239,3,1223.0
2021-03-15,Chhalphal Ramailo Yatra,978-9937-361-92-4,C9867,1,1764.0
2022-10-11,Bal Yatra Sundar,978-9937-168-26-2,C3550,3,1729.0
2024-05-11,Yatra Ko Anubhav,978-9937-713-31-9,C3029,5,1414.0
2023-05-05,Man Ko Anand,978-9937-564-96-3,C8785,4,1835.0
2023-09-04,Yatra Ki Manzil,978-9937-367-74-1,C4724,2,657.0
2020-08-06,Sathi Ra Samaya,978-9937-158-36-2,C3313,1,942.0
2022-02-11,Dharam Sangharsha,978-9937-549-51-8,C3058,1,1855.0
2023-01-28,Himal Sagar,978-9937-391-11-3,C6586,4,951.0
2024-07-13,Katha Ra Sahitya,978-9937-694-58-7,C7466,2,978.0
2021-04-18,Introduction to Electrical Engineering,978-9937-292-75-8,C4938,4,1467.0
2021-10-13,Contemporary Nepalese Politics,978-9937-948-78-2,C2841,4,1002.0
2022-07-23,Geographical Information Systems (GIS),978-9937-533-97-5,C9273,2,1880.0
2023-03-15,Teacher Education and Training,978-9937-468-75-1,C4127,3,476.0
2022-09-06,Environmental Science,978-9937-162-81-0,C4607,4,1520.0
2021-01-09,Bholi Ko Katha,978-9937-847-80-8,C9898,4,908.0
2020-04-13,Prakriti Ra Udyog,978-9937-522-96-3,C7343,1,831.0
2021-07-04,Jatiya Adhikar,978-9937-458-31-2,C5253,2,1520.0
2023-12-28,Phool ko Bahar,978-9937-463-17-5,C9986,4,1483.0
2020-03-06,Krishna,978-9937-570-97-2,C2222,5,1379.0
2021-01-26,Naya Sangraha,978-9937-789-72-3,C1788,2,1275.0
2019-06-26,International Trade and Finance,978-9937-458-10-3,C4293,1,1279.0
2023-02-18,Himal Sagar,978-9937-391-11-3,C5711,1,1444.0
2021-06-22,Chhalphal Ghar Ko Ramailo,978-9937-665-67-2,C2959,5,1179.0
2023-02-01,Samuday,978-9937-372-35-1,C1846,3,202.0
2024-08-27,Chhito Kahani Ramailo,978-9937-465-67-1,C4551,1,1763.0
2019-08-25,Baal Katha Pataka,978-9937-371-19-6,C4392,5,1154.0
2020-12-13,Phool Ko Ramailo,978-9937-761-72-6,C3586,2,480.0
2018-12-15,Karnali Blues,978-9937-781-38-8,C7456,4,1807.0
2024-05-06,Yatra ko Paila,978-9937-210-29-5,C8270,4,1227.0
2021-01-01,Investment Analysis and Portfolio Management,978-9937-216-29-2,C7083,1,1158.0
2019-02-26,Yatra Ko Aangan,978-9937-566-21-1,C5205,4,1533.0
2023-12-24,Chhalphal Yatra,978-9937-231-18-5,C9788,1,941.0
2022-04-10,Samaya Ko Bato,978-9937-959-25-8,C4632,3,1167.0
2024-03-19,Introduction to Agile Project Management,978-9937-435-15-5,C8094,2,674.0
2020-03-04,Data Analytics: Basics and Applications,978-9937-100-57-7,C6640,1,337.0
2021-03-10,Timi Ra Ma,978-9937-469-59-5,C3807,5,847.0
2022-01-25,Samman,978-9937-266-56-0,C4183,3,971.0
2022-10-22,Jatiya Bato,978-9937-687-28-7,C2423,2,213.0
2023-11-25,Ek Ghanta,978-9937-371-80-2,C6919,1,1595.0
2023-05-29,Chitwan,978-9937-571-40-1,C9860,4,511.0
2018-12-16,Business Ethics and Corporate Social Responsibility,978-9937-981-40-1,C2956,4,399.0
2021-09-30,Circuit Analysis and Design,978-9937-735-88-4,C6242,4,1280.0
2018-11-25,Prashasan Ra Manavadhikar,978-9937-709-46-7,C7725,2,1512.0
2019-08-04,Khushi Ko Ramailo Yatra,978-9937-453-89-4,C2385,2,704.0
2024-03-06,Jatiya Bato Ra Udyog,978-9937-894-98-2,C4332,4,1136.0
2020-05-30,Nepal Ko Manav,978-9937-571-73-3,C9001,5,373.0
2024-06-28,Bal Ramailo Ghar Ko Yatra,978-9937-128-21-7,C3739,2,754.0
2021-03-16,Dhaak Ko Duniya,978-9937-375-37-1,C9906,3,1891.0
2020-06-22,Pukal,978-9937-686-93-8,C7908,1,1060.0
2023-07-30,Himalaya,978-9937-882-34-6,C2271,5,1049.0
2021-12-27,Safar Ka Mantra,978-9937-422-26-1,C4287,3,1663.0
2019-02-26,Sukh Ko Sathi,978-9937-461-18-3,C2662,2,755.0
2024-04-05,Introduction to Biotechnology,978-9937-687-56-6,C6403,5,840.0
2023-12-28,Dhaak Ko Dhan,978-9937-532-19-9,C5415,1,1795.0
2019-04-15,Organic Farming: Theory and Practice,978-9937-237-59-4,C1065,4,1490.0
2021-02-21,Ghar Ko Bato,978-9937-229-58-6,C7406,5,920.0
2022-06-19,International Business: Concepts and Applications,978-9937-594-63-0,C9788,3,1645.0
2021-10-14,Phool ko Bahar,978-9937-463-17-5,C9939,3,225.0
2023-11-08,Dharma Ra Dhan,978-9937-817-59-8,C3380,1,289.0
2020-04-12,Teaching Methods and Strategies,978-9937-913-89-1,C5372,5,442.0
2023-03-15,Samarpan,978-9937-669-77-4,C8647,4,342.0
2023-04-16,Introduction to Performing Arts,978-9937-773-22-6,C5627,5,1695.0
2023-02-11,Man Ko Paila,978-9937-931-68-0,C9306,3,1192.0
2023-06-22,Kura Kura,978-9937-732-77-3,C3984,1,1908.0
2024-02-17,Dukha,978-9937-722-65-5,C9269,1,1612.0
2024-01-20,Ghar Ko Yatra,978-9937-492-54-5,C3554,3,662.0
2022-09-15,Data Analytics: Basics and Applications,978-9937-100-57-7,C8297,5,1497.0
2018-12-23,Chhito Ramailo,978-9937-807-52-5,C1587,1,618.0
2019-05-02,Bal Ghar Yatra,978-9937-726-78-9,C8896,4,449.0
2023-06-18,Introduction to Agile Project Management,978-9937-435-15-5,C4004,5,794.0
2023-06-06,Introduction to Law,978-9937-843-72-3,C5616,1,1619.0
2020-10-27,Chandra Kanta,978-9937-360-66-2,C8223,4,317.0
2023-08-05,Bato Ko Sathi,978-9937-679-60-9,C7827,2,1016.0
2020-08-19,Yasodhar,978-9937-646-43-3,C5768,5,385.0
2023-12-16,Sankalpa,978-9937-570-57-1,C2627,1,1668.0
2020-03-04,Ramailo Jeevan,978-9937-284-33-8,C1341,5,389.0
2024-02-22,Special Education Needs,978-9937-527-62-0,C4002,5,1747.0
2022-11-18,Social Studies for Kids,978-9937-652-71-0,C8036,4,794.0
2019-12-27,Jatra Ma Bhet,978-9937-697-42-2,C7628,3,1793.0
2023-02-02,Muna Madan,978-9937-869-48-4,C8166,5,611.0
2020-02-16,Mathematics for Class 10,978-9937-731-64-3,C6676,3,424.0
2020-04-22,Yatra Yatra,978-9937-483-76-7,C2934,3,1553.0
2021-02-12,Chhito Ghar Ko Khusi,978-9937-441-68-4,C8034,4,1659.0
2023-07-28,English Grammar and Composition,978-9937-158-55-5,C8891,2,917.0
2023-05-18,Shreeram,978-9937-957-59-4,C5697,2,1831.0
2022-01-17,Political Science,978-9937-424-81-1,C7527,3,1490.0
2024-03-11,History of Nepali Literature,978-9937-855-33-1,C7722,2,584.0
2021-11-11,Jatiya Bhasha,978-9937-697-75-2,C6603,3,1776.0
2022-05-31,Chhayan,978-9937-495-99-5,C2555,4,583.0
2023-08-20,Musical Theory and Composition,978-9937-338-71-4,C5232,3,276.0
2023-06-22,Samaya Ka Safar,978-9937-253-92-5,C1348,2,253.0
2023-12-31,Chhito Ghar Kahani,978-9937-532-80-8,C2849,5,928.0
2019-12-05,Jatiya Adhikar,978-9937-458-31-2,C8918,4,313.0
2020-11-10,Dharmapath Ko Katha,978-9937-723-64-9,C3989,4,1040.0
2021-09-24,Shiksha Ra Samasya,978-9937-825-37-0,C8173,2,817.0
2023-03-13,Nepal Ko Samasya,978-9937-711-77-2,C3152,4,778.0
2021-03-01,Nepal Ko Itihas Ra Bikas,978-9937-301-77-0,C3037,1,1949.0
2019-08-19,Naya Mantra,978-9937-306-16-0,C3049,1,1426.0
2020-07-13,Sanjay Ka Sawaal,978-9937-497-93-0,C9586,5,1451.0
2021-04-14,Pramod,978-9937-348-27-8,C7405,4,852.0
2023-03-25,Sociology in Nepal,978-9937-848-46-4,C6451,3,1464.0
2023-03-26,Cybersecurity Fundamentals,978-9937-143-51-2,C7353,4,240.0
2024-07-20,Duniya Ko Katha,978-9937-626-24-0,C8210,1,399.0
2022-03-24,Social Work Principles and Practices,978-9937-312-71-5,C3459,5,969.0
2022-05-16,Naya Aasha,978-9937-263-29-9,C4236,1,1510.0
2019-05-28,Mathematical Logic and Reasoning,978-9937-957-97-4,C1445,3,1910.0
2020-01-19,Yatra Ko Dhamaka,978-9937-532-84-0,C8615,4,657.0
2021-06-08,Yatra Ra Mantra,978-9937-505-70-5,C3571,3,1363.0
2022-10-13,Introduction to Cloud Computing,978-9937-321-46-5,C9794,1,312.0
2022-01-13,Ecology: Principles and Applications,978-9937-247-12-2,C8172,2,566.0
2023-02-08,Yatra Suru,978-9937-492-39-9,C9353,1,1567.0
2022-12-02,Pariwartan Ko Disha,978-9937-216-64-2,C5472,1,987.0
2023-11-03,Yug Ko Dhan,978-9937-120-89-8,C9843,1,837.0
2023-05-02,Maya Ko Rukh,978-9937-680-54-8,C8918,1,271.0
2023-07-03,Materials Science: An Overview,978-9937-124-47-3,C5372,1,1453.0
2019-10-05,Ramailo Khushi Kahani,978-9937-384-97-4,C1975,5,1069.0
2022-05-15,Nirjala,978-9937-512-54-1,C7611,1,934.0
2024-08-16,Yatra Ra Samasya,978-9937-902-72-5,C7188,3,1471.0
2023-12-02,Microprocessor Design: Theory and Applications,978-9937-516-38-6,C4480,4,1940.0
2020-03-17,Nepal Ko Yatra,978-9937-223-32-3,C2569,4,325.0
2024-05-24,Pariwartan Ko Samaya,978-9937-278-79-7,C5837,2,755.0
2019-07-03,Philosophy of Nursing,978-9937-877-94-7,C8862,4,1212.0
2023-10-19,Khushi Ko Katha,978-9937-962-49-3,C4446,1,501.0
2020-04-18,Data Analytics: Basics and Applications,978-9937-100-57-7,C9960,1,547.0
2024-01-19,Introduction to Development Studies,978-9937-566-63-4,C4477,2,788.0
2020-11-20,Nepal Ko Sangharsha,978-9937-588-42-6,C8735,4,845.0
2018-11-11,Socio-Economic Development in Nepal,978-9937-826-41-6,C7402,5,1380.0
2020-10-14,Samaya Ka Safar,978-9937-253-92-5,C3350,5,1882.0
2019-05-21,Jatra Ko Dhan,978-9937-391-63-0,C4042,1,291.0
2019-01-07,Chhalphal Ko Ramailo Kahani,978-9937-659-45-9,C9000,3,1652.0
2021-03-05,Chhito Khushi Kahani,978-9937-799-34-9,C3893,4,1542.0
2020-08-01,Khushi Ko Ghar,978-9937-947-31-8,C2631,5,219.0
2019-10-02,Manavadhikar Ko Samasya,978-9937-690-31-6,C4666,4,1242.0
2020-11-18,Yatra Ki Aasha,978-9937-528-85-8,C4812,2,1146.0
2024-08-06,Manavadhikar Ko Itihas Ra Bato,978-9937-178-83-3,C2901,1,1346.0
2019-10-24,Chha Bhat,978-9937-406-10-2,C9358,4,299.0
2021-11-05,Khushi Ra Ghar,978-9937-531-23-4,C8054,1,1351.0
2024-07-05,Statistics for Research,978-9937-658-13-7,C9777,3,1492.0
2021-04-23,Samaya Ma Ghar,978-9937-971-54-8,C5776,1,1552.0
2022-01-26,Kahani Ko Duniya,978-9937-558-79-2,C2864,4,1213.0
2020-03-25,Khasi Ko Bato,978-9937-149-16-0,C8621,2,237.0
2022-11-02,Physical Activity and Health,978-9937-299-80-9,C7563,5,839.0
2020-06-08,Man Ko Yatra,978-9937-976-97-5,C7988,2,383.0
2023-09-09,Yoga and Mindfulness Practices,978-9937-227-78-2,C5484,4,1569.0
2022-06-13,Chhalphal Yatra,978-9937-231-18-5,C7511,4,630.0
2024-05-26,Chitwan Ka Katha,978-9937-408-38-7,C6955,4,1722.0
2022-05-18,Geographical Information Systems (GIS),978-9937-533-97-5,C6147,4,1785.0
2020-02-05,Saalikharako Bato,978-9937-578-70-2,C9222,4,1314.0
2022-07-08,Bato Ko Katha,978-9937-621-97-5,C3751,3,1287.0
2019-06-29,Dharma,978-9937-908-39-2,C9013,1,1771.0
2020-10-16,Kahani Ko Ramailo,978-9937-170-47-4,C6089,1,1179.0
2022-05-11,Electromagnetism: Principles and Applications,978-9937-363-31-4,C9070,3,1989.0
2024-10-22,Anudhar,978-9937-249-79-9,C6777,4,1963.0
2024-04-13,Maya Ko Ghar,978-9937-952-78-7,C1160,3,1882.0
2021-06-12,Chhayan,978-9937-495-99-5,C4274,5,1731.0
2023-12-26,Yatra Ki Aasha,978-9937-528-85-8,C7380,2,562.0
2018-12-28,Public Relations: Concepts and Practices,978-9937-967-82-9,C1660,4,1984.0
2023-04-14,Naya Din,978-9937-222-44-8,C2938,4,1832.0
2024-04-03,Nepali Prashasan Ko Bato,978-9937-345-47-2,C3675,2,399.0
2021-06-04,Sanjha Ko Sathi,978-9937-772-84-1,C5065,4,956.0
2023-11-20,Chhakka Pataka,978-9937-794-65-8,C3087,4,766.0
2022-08-13,History of Nepal: Ancient to Modern,978-9937-446-99-7,C4758,5,1894.0
2021-03-12,English Grammar and Composition,978-9937-158-55-5,C3574,1,1716.0
2024-10-12,Pariwartan Ko Samaya,978-9937-278-79-7,C7116,2,696.0
2021-01-09,Khushiyon Ka Safar,978-9937-149-36-6,C8341,1,392.0
2020-03-17,Quantitative Research Methods,978-9937-588-83-1,C8304,3,1040.0
2024-03-29,Introduction to Topology,978-9937-706-80-2,C1896,2,1783.0
2023-09-17,Baal Ghar Ko Katha,978-9937-295-75-3,C6876,3,603.0
2023-09-30,Bujhnu Parne Katha,978-9937-175-14-3,C2528,1,1573.0
2023-09-05,Social Media Impact,978-9937-521-84-2,C8601,2,1077.0
2022-03-23,Nepali Ghar,978-9937-751-49-2,C5610,5,794.0
2023-04-19,Dharma Ko Patra,978-9937-494-89-7,C1270,3,578.0
2021-02-09,Baal Ramailo Ghar,978-9937-654-20-5,C5750,1,1750.0
2023-03-07,Introduction to Civil Engineering,978-9937-294-47-0,C4323,5,395.0
2024-10-30,Khushi Ko Duniya,978-9937-723-87-4,C9406,2,620.0
2020-09-26,Dhalko Aakha,978-9937-513-28-5,C8389,3,291.0
2020-07-22,Khusi Ko Bato,978-9937-275-35-8,C9756,2,529.0
2019-10-19,Negotiation Skills,978-9937-770-94-6,C5043,2,1810.0
2023-02-23,Sustainable Development: Theory and Practice,978-9937-587-22-3,C6330,3,465.0
2024-08-22,Samajik Itihas,978-9937-946-64-9,C3194,3,970.0
2019-03-18,Samay Ko Samasya,978-9937-970-99-2,C2992,4,1962.0
2024-04-28,Nepali Safar,978-9937-530-86-4,C2492,3,1133.0
2023-05-19,Anmol,978-9937-947-40-5,C8650,5,810.0
2021-06-17,Nepal Ko Kahani,978-9937-882-85-8,C8327,1,323.0
2024-03-29,Operations Research,978-9937-803-70-0,C2312,1,1950.0
2024-01-02,Seto Dharti,978-9937-519-44-5,C6967,1,719.0
2019-09-13,Chhalphal Ghar Pataka,978-9937-596-41-8,C5654,1,1411.0
2019-08-07,Smriti,978-9937-796-76-8,C2254,5,977.0
2022-10-24,Nepali Lahar,978-9937-976-37-5,C8935,2,1129.0
2019-03-11,Introduction to Computer Engineering,978-9937-656-56-6,C4927,3,362.0
2019-01-20,Shiksha Ra Udyog,978-9937-923-16-7,C4384,1,1163.0
2021-11-10,Vishweshwar,978-9937-635-63-8,C9287,5,374.0
2024-07-20,Nepal Ko Sangharsha Ko Katha,978-9937-655-70-9,C1733,2,614.0
2023-11-18,Guru,978-9937-583-63-3,C1958,5,810.0
2024-09-06,Dharma Ra Khushi,978-9937-436-53-2,C1730,2,1794.0
2021-11-18,Jatiya Sangharsha Ra Vikas,978-9937-297-62-2,C7640,1,1275.0
2021-06-08,Food Security and Nutrition,978-9937-638-72-4,C5810,3,266.0
2018-11-12,Nutritional Science and Dietetics,978-9937-825-66-0,C9583,1,1152.0
2023-10-30,Sanjhi,978-9937-953-44-7,C3083,3,211.0
2018-12-02,Ramailo Khushi Kahani,978-9937-384-97-4,C3787,3,408.0
2023-04-19,Ek Chhaina,978-9937-703-37-7,C3499,4,1861.0
2023-01-05,Bal Kahani Sundar,978-9937-486-39-6,C4605,3,1875.0
2022-09-30,Scrum and Lean Methodologies,978-9937-445-49-9,C2256,2,926.0
2023-06-20,Research Methodology,978-9937-452-11-5,C1014,4,1399.0
2018-11-17,Contemporary Nepali Society,978-9937-670-35-8,C3426,1,358.0
2022-12-10,The Art of Meditation,978-9937-563-61-9,C1486,3,1208.0
2023-03-01,Khushi Ko Yatra,978-9937-288-81-9,C6054,4,922.0
2022-09-02,Narendra Dai,978-9937-661-46-5,C4451,4,1193.0
2022-03-31,Khasi Ko Katha,978-9937-800-22-6,C6889,4,1829.0
2020-02-06,Bal Sahitya,978-9937-950-94-6,C6372,1,500.0
2023-03-03,A Brief History of Nepal,978-9937-242-24-7,C8634,5,364.0
2023-02-04,Bal Manch Ko Sundarta,978-9937-890-85-1,C3259,4,782.0
2023-05-05,Dharam Pustak,978-9937-878-26-4,C2438,3,805.0
2023-09-11,Manav Adhikar Ko Itihas,978-9937-564-99-6,C5772,2,1194.0
2020-09-01,Khasi Ko Bato,978-9937-149-16-0,C7498,3,1944.0
2022-10-13,Katha Ko Katha,978-9937-109-97-0,C4034,2,845.0
2018-12-09,Sathi Ko Paila,978-9937-543-32-6,C8135,1,1741.0
2024-04-09,Samaya Ko Bato,978-9937-959-25-8,C6365,3,1059.0
2020-03-05,Palpasa Cafe,978-9937-493-85-4,C3760,3,900.0
2019-12-20,Udaan Ko Katha,978-9937-439-48-2,C8772,3,1526.0
2024-04-09,Human-Computer Interaction,978-9937-979-23-8,C1256,3,272.0
2020-05-19,Cost Accounting Techniques,978-9937-392-31-3,C4067,4,212.0
2024-03-11,Public Policy: Theory and Practice,978-9937-234-21-6,C1842,3,1230.0
2021-11-16,Chhito Ghar Ko Khusi,978-9937-441-68-4,C8903,4,1859.0
2021-03-12,Sathi Ko Safar,978-9937-316-92-3,C3312,4,485.0
2021-10-08,Nepal Ko Vikas Ko Katha,978-9937-868-87-3,C2029,2,715.0
2019-05-02,Samaj Ko Katha,978-9937-636-41-1,C5521,1,1921.0
2019-02-16,Developmental Psychology,978-9937-692-43-9,C2039,1,1342.0
2021-03-22,Bhul Ko Ghar,978-9937-380-66-5,C9047,2,1779.0
2019-11-11,Chhalphal Ko Kahani,978-9937-818-83-1,C3780,1,1307.0
2022-10-29,Ghar Ko Raat,978-9937-182-30-7,C3559,3,1116.0
